Description,Manufacturer,Manufacturer Part Number,Additional requirements,Reference designator,Quantity
"206001522, SMD IC RF TxRx + MCU 2.4G & sub 1G ;VQFN-48, A.4 (Design)",TI,,,U9,1
"301010000, SMD RES 0R-5%-1/16W;0402, A.2 (Design)",YAGEO,RC0402JR-070RL,,FB30 FB31 FB36 FB37 FB38 FB39 R30 R34 R35 R99 R104 R105 R106 R107 R119 R120 R121 R123 R127 R135 R149 R163 R220 R227 R229,25
"301010041, SMD RES 49.9R-1%-1/16W;0402, A.2 (Design)",YAGEO,RC0402FR-0749R9L,,R100 R101,2
"301010044, SMD RES 1K-1%-1/16W;0402, A.1 (Design)",YAGEO,RC0402FR-071KL,,R40 R53 R67 R68 R83 R86 R87 R133 R165 R184 R185 R317 R318,13
"301010047, SMD RES 10K-1%-1/16W;0402, A.1 (Design)",YAGEO,RC0402FR-0710KL,,R4 R14 R15 R17 R18 R19 R21 R23 R24 R25 R26 R27 R28 R29 R54 R60 R70 R73 R74 R75 R76 R77 R78 R94 R122 R125 R126 R134 R137 R138 R140 R142 R147 R148 R150 R151 R152 R154 R155 R156 R157 R158 R159 R160 R161 R162 R168 R169 R207 R208 R209 R210 R228 R240 R241 R242 R250 R251 R254 R255 R256 R313,62
"301010072, SMD RES 20K-1%-1/16W;0402, A.1 (Design)",YAGEO,RC0402FR-0720KL,,R132 R136,2
"301010410, SMD RES 1M-1%-1/4W;1206, A.1 (Design)",YAGEO,RC1206FR-071ML,,R38,1
"301010441, SMD RES 33K-1%-1/16W;0402, A.3 (Design)",YAGEO,RC0402FR-0733KL,,R66,1
"301010456, SMD RES 100K-1%-1/16W;0402, A.2 (Design)",YAGEO,RC0402FR-07100KL,,R117 R139 R211 R261 R278,5
"301010457, SMD RES 49.9K-1%-1/16W;0402, A.1 (Design)",YAGEO,RC0402FR-0749K9L,,R5 R6 R7 R8 R9 R10 R11 R12 R13 R20 R56 R59,12
"301010461, SMD RES 2K-1%-1/16W;0402, A.3 (Design)",YAGEO,RC0402FR-072KL,,R102 R103,2
"301010495, SMD RES;5.1K-1%-1/16W;0402, A.1 (Design)",YAGEO,RC0402FR-075K1L,,R128 R129,2
"301010518, SMD RES 120K-1%-1/16W;0402, A.3 (Design)",YAGEO,RC0402FR-07120KL,,R212,1
"301010525, SMD RES 0R-±1%-1/20W;0201, A.1 (Design)",YAGEO,RC0201FR-070RL,,R16 R80 R277,3
"301010526, SMD RES 10K-±1%-1/20W;0201, A.1 (Design)",YAGEO,RC0201FR-0710KL,,R36 R37 R91 R93 R170 R172 R173 R174 R177 R180 R182 R183 R188 R192 R193 R195 R196 R198 R259 R262,20
"301010568, SMD RES;11K-1%-1/16W-0402, A.1 (Design)",YAGEO,RC0402FR-0711KL,,R141,1
"301010666, SMD RES 270K-1%-1/16W;0402, A.2 (Design)",YAGEO,RC0402FR-07270KL,,R260,1
"301010675, SMD RES;33R-5%-1/20W;0201, A.1 (Design)",YAGEO,RC0201JR-0733RL,,R2 R3 R49 R50 R51 R52 R57 R58 R69 R71 R72 R79 R95 R96 R97 R98 R145 R216 R217 R230 R244 R245 R246 R247 R258 R266 R267 R268 R269 R270 R271 R273 R274 R279 R280 R281 R282 R284 R285 R286 R287 R288 R289 R290 R291 R292 R293 R294 R295 R296 R297 R298 R312 R314 R315 R316,56
"301010677, SMD RES;4.7K-5%-1/20W;0201, A.1 (Design)",YAGEO,RC0201JR-074K7L,,R41 R43 R46 R47 R61 R249 R253 R308 R311,9
"301010746, SMD RES 2.2K-1%-1/16W;0402, A.1 (Design)",YAGEO,RC0402FR-072K2L,,R64 R65 R85 R110 R111 R114 R116 R143 R144 R166 R167 R186 R201 R202 R203 R204 R205 R206 R226 R232 R233 R234 R235 R236 R237 R238 R239 R257 R263,29
"301010774, SMD RES 390K-1%-1/16W;0402, A.1 (Design)",YAGEO,RC0402FR-07390KL,,R276,1
"301010814, SMD RES 180K-1%-1/16W;0402, A.1 (Design)",YAGEO,RC0402FR-07180KL,,R307,1
"301010848, SMD RES 499R-0.1%-1/16W;0402, A.2 (Design)",YAGEO,RT0402BRE07499RL,,R130 R131 R153,3
"301010856, SMD RES 2.49K-1%-1/16W;0402, A.2 (Design)",YAGEO,RC0402FR-072K49L,,R33,1
"301011214, SMD RES 7.5K-1%-1/16W;0402, A.2 (Design)",YAGEO,RC0402FR-077K5L,,R89,1
"301011475, SMD RES 240R-1%-1/16W;0402, A.2 (Design)",YAGEO,RC0402FR-07240RL,,R1 R88,2
"302010000, SMD CAP Ceramic 33pF-50V-5%-NPO;0402, A.2 (Design)",YAGEO,CC0402JRNPO9BN330,,C1 C2,2
"302010012, SMD CAP Ceramic 100pF-50V-5%-NPO;0402, A.2 (Design)",YAGEO,CC0402JRNPO9BN101,,C16 C17 C234 C235 C256 C257,6
"302010019, SMD CAP Ceramic 4.7uF-6.3V-20%-X5R;0402, A.2 (Design)",YAGEO,CC0402MRX5R5BB475,,C69 C75 C77 C91 C95 C147 C150 C153 C172 C175 C178 C179 C206 C214 C224 C299,16
"302010026, SMD CAP Ceramic 8pF-50V-0.5pF-NPO;0402, A.1 (Design)",YAGEO,CC0402DRNPO9BN8R0,,C128 C129,2
"302010040, SMD CAP Ceramic 1uF-10V-10%-X5R;0402, A.2 (Design)",YAGEO,CC0402KRX5R6BB105,,C5 C8 C11 C32 C204 C233 C263,7
"302010050, SMD CAP Ceramic 20pF-50V-5%-NPO;0402, A.1 (Design)",YAGEO,CC0402JRNPO9BN200,,C126 C127,2
"302010051, SMD CAP Ceramic 220nF-16V-10%-X7R;0402, A.3 (Design)",YAGEO,CC0402KRX7R7BB224,,C12 C13,2
"302010053, SMD CAP Ceramic 10uF-6.3V-20%-X5R;0402, A.3 (Design)",YAGEO,CC0402MRX5R5BB106,,C104 C132 C203 C231 C237 C238 C244 C250 C252 C271 C275,11
"302010103, SMD CAP Ceramic 10uF-10V-10%-X5R;0603, A.2 (Design)",YAGEO,CC0603KRX5R6BB106,,C44 C62 C63 C64 C83 C111 C133 C258 C268,9
"302010166, SMD CAP Ceramic 47uF-6.3V-20%-X5R;0805, A.1 (Design)",YAGEO,CC0805MKX5R5BB476,,C50 C54 C60,3
"302010235, SMD CAP Ceramic 22uF-25V-20%-X5R;0805, A.1 (Design)",YAGEO,CC0805MKX5R8BB226,,C51 C57 C134 C135,4
"302010270, SMD CAP Ceramic;1uF-6.3V-±20%-X5R;0201, A.1 (Design)",YAGEO,CC0201MRX5R5BB105,,C93 C108 C136 C137 C138 C139 C140 C141 C142 C143 C144 C157 C160 C163 C166 C169 C177 C207 C215 C225 C295,21
"302010271, SMD CAP Ceramic 100nF-10V-10%-X5R;0201, A.1 (Design)",YAGEO,CC0201KRX5R6BB104,,C4 C7 C10 C20 C38 C39 C40 C41 C42 C43 C55 C56 C58 C59 C61 C65 C66 C67 C68 C70 C71 C72 C73 C74 C76 C78 C79 C81 C84 C85 C90 C92 C94 C99 C100 C101 C102 C107 C114 C115 C116 C117 C118 C119 C120 C121 C122 C123 C124 C130 C131 C145 C148 C151 C154 C155 C158 C161 C164 C167 C170 C173 C176 C180 C181 C182 C183 C184 C185 C186 C187 C188 C189 C190 C191 C192 C193 C194 C195 C196 C197 C198 C199 C200 C201 C202 C205 C208 C209 C210 C211 C212 C213 C216 C217 C218 C219 C220 C221 C222 C223 C226 C227 C228 C229 C230 C236 C239 C240 C241 C242 C243 C245 C247 C248 C249 C251 C253 C255 C259 C260 C262 C264 C266 C267 C270 C272 C273 C274 C276 C294 C296 C297 C298 C300,135
"302010304, SMD CAP Ceramic;7.5pF-50V-0.25pF-C0G-0402, A.1 (Design)",Murata,GJM1555C1H7R5CB01D,,C35 C36,2
